Time;Bus;Typ;Res;Stat/Err;N0;N1;N2;N3;N4;N5;N6;CRC;Rx Time;Sync Time;Skipped
1,8396964287768884;1;0;0;"0100";4;3;15;3;10;3;1;2;123585048;31495;1
1,8551918092147976;1;0;0;"0000";0;4;15;5;1;0;0;5;123591834;31495;1
1,8706645890553937;1;0;0;"1000";8;5;15;0;8;4;0;9;123598233;31495;1
1,8860806619427308;1;0;0;"0000";0;6;15;1;4;7;15;8;123605302;31495;1
1,9026419687339227;1;0;0;"1100";12;7;15;2;7;0;4;0;123612615;31495;1
1,9175320640837883;1;0;0;"1000";8;8;15;1;4;0;12;8;123619612;31496;1
1,9334371317129937;1;0;0;"1000";8;9;15;15;8;8;7;7;123626925;31495;1
1,94848830768371;1;0;0;"1100";12;10;15;5;10;1;1;5;123634976;31495;1
1,9647307405928096;1;0;0;"0000";0;11;15;4;15;4;15;13;123642395;31496;1
1,9812082197139669;1;64;0;"1001";9;15;5;1;2;0;11;0;123642395;31496;n/a
1,995658630716102;1;0;0;"1000";8;12;15;4;15;5;0;8;123650447;31495;1
2,0109822466144305;1;0;0;"1000";8;13;15;2;13;5;3;1;123658147;31495;1
2,02712811333501;1;0;0;"1100";12;14;15;3;0;12;0;1;123665600;31496;1
2,0428679911438534;1;512;0;"0000";0;0;0;0;0;0;0;0;0;0;n/a
2,0430582470812357;1;0;0;"1000";8;0;0;1;14;10;4;11;123672950;31484;2
2,059001530265898;1;0;0;"1000";8;1;0;1;4;10;6;8;123679982;31496;1
2,073261685330651;1;0;0;"1000";8;2;0;0;4;1;10;13;123686662;31495;1
2,0896956069369863;1;0;0;"0000";0;3;0;3;10;3;0;6;123693343;31495;1
2,1047389754286305;1;0;0;"0000";0;4;0;5;1;0;0;12;123699566;31495;1
2,120761977083816;1;0;0;"1100";12;5;0;0;8;4;0;0;123705684;31495;1
2,135763842660394;1;0;0;"0000";0;6;0;1;4;7;15;1;123712049;31495;1
2,151970936453695;1;0;0;"1000";8;7;0;2;7;0;4;9;123718589;31495;1
2,16738248922157;1;0;0;"0000";0;8;0;2;8;3;8;6;123725234;31496;1
2,182938274892298;1;0;0;"0100";4;9;0;15;8;8;7;14;123731809;31495;1
2,199464653487642;1;0;0;"0000";0;10;0;5;15;4;2;10;123739440;31496;1
2,213920817369093;1;0;0;"0000";0;11;0;4;15;4;15;4;123746401;31495;1
2,231658587980427;1;0;0;"0000";0;12;0;4;15;4;15;6;123753609;31495;1
2,2449029489259376;1;0;0;"0000";0;13;0;2;13;3;11;5;123760922;31495;1
2,2604385995190595;1;0;0;"0000";0;14;0;11;0;8;0;7;123767919;31495;1
2,276299287793541;1;64;0;"1010";10;0;2;2;0;0;8;0;123767919;31495;n/a
2,2920005391269758;1;512;0;"0000";0;0;0;0;0;0;0;0;0;0;n/a
2,292155045028608;1;0;0;"1000";8;0;1;1;14;10;4;5;123774670;31485;2
2,3078727331600897;1;0;0;"1100";12;1;1;1;4;10;1;2;123781526;31495;1
2,322880762535935;1;0;0;"1000";8;2;1;0;4;1;10;3;123787996;31496;1
2,3387821318855804;1;0;0;"1100";12;3;1;3;10;3;0;8;123794360;31495;1
2,3542947709614377;1;0;0;"1100";12;4;1;5;1;0;0;2;123801112;31495;1
2,3697264588069187;1;0;0;"1100";12;5;1;0;8;4;0;14;123807335;31495;1
2,3853607301883164;1;0;0;"0100";4;6;1;1;4;7;15;15;123814227;31495;1
2,4011223867545706;1;0;0;"0100";4;7;1;2;7;0;0;9;123821435;31496;1
2,416920615196477;1;0;0;"1000";8;8;1;1;4;1;4;12;123827834;31496;1
2,4323395645234727;1;0;0;"0000";0;9;1;15;8;8;7;0;123834550;31495;1
2,4477761834083673;1;0;0;"1000";8;10;1;5;12;1;1;13;123841582;31495;1
2,46350866465809;1;0;0;"0100";4;11;1;4;15;4;15;10;123848719;31495;1
2,479163071117094;1;0;0;"0000";0;12;1;4;15;5;0;15;123856314;31495;1
2,494748032104354;1;0;0;"0100";4;13;1;2;13;5;2;11;123863488;31496;1
2,510084386521168;1;0;0;"0100";4;14;1;11;0;12;0;1;123870625;31495;1
2,5262006670052646;1;512;0;"0000";0;0;0;0;0;0;0;0;0;0;n/a
2,5265520035634976;1;0;0;"0100";4;0;2;1;14;10;4;10;123877481;31484;2
